mt_adj;ms_adj;mg_adj;Age;Gender;Department;Year;BandR;Place;Income;Socialmedia;Ishopping;Brandmonitoring;Price;Quality;Timeofuse;ProductionDate;Seasonality;Material;Discount;Fashion;Design;Psychologicalimpulses;Country;Recognizability
High;High;High;3;1;1;3;0;1;6;4;2;3;4;4;6;3;4;4;4;5;5;3;3;3
High;High;High;4;0;1;3;0;1;5;4;2;1;4;4;4;4;4;4;4;4;4;4;4;4
High;High;High;4;1;1;3;0;1;6;4;4;1;4;5;5;1;3;6;4;5;4;5;2;5
High;High;High;3;0;1;4;0;1;6;4;3;1;5;4;5;4;5;4;5;4;5;4;5;4
High;High;High;3;1;1;2;0;1;4;3;2;3;5;5;5;4;4;4;5;5;5;4;4;4
High;High;High;2;1;0;3;0;1;6;4;2;3;4;5;5;2;4;5;4;4;5;4;4;5
High;High;High;2;0;1;3;0;1;6;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4
Low;Low;Low;2;0;1;4;0;1;4;4;2;4;3;3;3;3;3;3;3;3;3;3;3;3
High;High;High;3;1;1;3;0;3;4;4;4;4;3;5;5;5;5;5;5;5;5;5;5;5
High;High;High;3;1;1;4;0;2;1;4;2;3;5;5;5;5;5;5;5;3;5;4;5;5
High;High;High;3;0;1;4;0;1;5;4;3;3;4;4;4;4;4;4;3;3;3;3;3;3
High;High;High;2;1;1;3;0;1;5;3;3;3;5;5;5;4;5;4;5;5;5;5;4;5
High;Mid;High;3;1;1;3;0;1;4;5;2;3;5;5;5;5;5;5;5;5;5;4;4;5
